Causes, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years
 Other chromosomal anomalies,0.2,0.2,0,0,0,0.2,0
 Other congenital anomalies,0.8,0.6,0.2,0.2,0.5,0.9,2.1
 Oral conditions,0,0,0,0,0,0,0.2
 Dental caries,0,0,0,0,0,0,0.2
 Periodontal disease,0,0,0,0,0,0,0
 Edentulism,0,0,0,0,0,0,0
 Injuries,54.9,28.5,66.5,80.5,126.5,190.1,487.5
 Unintentional injuries,42.9,26.7,50.3,60.4,94.9,140.7,392
 Road injury,18.3,7.2,31.5,35.3,47.2,61.6,96.8
 Poisonings,2.4,0.9,2.7,4.1,6.3,9.6,16
 Falls,7.7,1.7,3.4,6.3,14.9,25.8,132.4
" Fire, heat and hot substances",0.8,0.5,0.6,0.8,1.5,2.9,11.4
 Drowning,4.4,12.4,4.9,3.5,6.6,12.7,33.5
 Exposure to forces of nature,0.1,0.2,0.2,0.2,0.2,0.2,0.4
 Other unintentional injuries,9.1,3.7,7.2,10.2,18.3,27.8,101.6
 Intentional injuries,12,1.8,16.1,20.1,31.6,49.5,95.4
 Self-harm,9.9,1,10.9,14.9,27.4,46,92
 Interpersonal violence,1.9,0.8,4.8,4.7,3.9,3.1,2.9
 Collective violence and legal intervention,0.2,0,0.5,0.4,0.4,0.4,0.7
