"","","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population"
"Western Pacific Region"," Gonorrhoea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Trichomoniasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Other STDs","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," HIV/AIDS","5","1","1","2","6","2","0","3","2","1","3","14","7","1","7","6","1","0","2","6","2","0","3","1","0","3","18","10","2","8"
"Western Pacific Region"," Diarrhoeal diseases","2","4","1","1","1","1","9","2","4","1","1","1","1","6","2","2","9","2","2","1","1","10","2","10","2","1","1","1","7","2"
"Western Pacific Region"," Childhood-cluster diseases","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","4","0","0","0","0","0","0"
"Western Pacific Region"," Whooping cough","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0"
"Western Pacific Region"," Diphtheria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Measles","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0"
"Western Pacific Region"," Tetanus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Western Pacific Region"," Meningitis","1","2","0","0","0","0","2","1","2","0","0","0","1","2","1","1","5","0","0","0","1","3","1","5","0","0","0","1","2","1"
"Western Pacific Region"," Encephalitis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Acute hepatitis B","2","0","0","0","0","2","7","2","0","0","0","1","3","10","2","2","0","0","0","1","3","8","2","0","0","0","2","5","12","2"
"Western Pacific Region"," Acute hepatitis C","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0","1","3","0"
"Western Pacific Region"," Parasitic and vector diseases","1","2","0","0","0","0","1","1","2","0","0","0","0","1","1","1","2","1","0","0","1","1","1","2","1","0","0","1","2","1"
"Western Pacific Region"," Malaria","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Western Pacific Region"," Trypanosomiasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Chagas disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Schistosomiasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Leishmaniasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Lymphatic filariasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Onchocerciasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Leprosy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Dengue","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Trachoma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Rabies","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Western Pacific Region"," Intestinal nematode infections","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Ascariasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Trichuriasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Hookworm disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Other infectious diseases","3","2","0","0","0","1","21","3","3","0","0","1","2","22","3","3","4","1","1","1","2","24","3","5","0","1","1","3","25","3"
"Western Pacific Region"," Respiratory infections","33","16","1","1","1","7","251","35","18","1","1","2","11","290","33","26","37","1","2","2","9","286","26","39","1","1","2","14","328","25"
"Western Pacific Region"," Lower respiratory infections","33","16","1","1","1","7","250","34","18","1","1","2","11","289","32","25","37","1","2","2","9","285","26","39","1","1","2","14","327","25"
"Western Pacific Region"," Upper respiratory infections","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"Western Pacific Region"," Otitis media","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Maternal conditions","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","0","2","2","0","0","1","0","0","0","0","0","0","0"
"Western Pacific Region"," Neonatal conditions","5","81","0","0","0","0","0","4","94","0","0","0","0","0","5","8","124","0","0","0","0","0","7","141","0","0","0","0","0","9"
"Western Pacific Region"," Preterm birth complications","2","34","0","0","0","0","0","2","38","0","0","0","0","0","2","3","51","0","0","0","0","0","3","55","0","0","0","0","0","4"
"Western Pacific Region"," Birth asphyxia and birth trauma","2","27","0","0","0","0","0","1","32","0","0","0","0","0","2","3","42","0","0","0","0","0","3","48","0","0","0","0","0","3"
"Western Pacific Region"," Neonatal sepsis and infections","0","5","0","0","0","0","0","0","7","0","0","0","0","0","0","1","7","0","0","0","0","0","0","9","0","0","0","0","0","1"
"Western Pacific Region"," Other neonatal conditions","1","14","0","0","0","0","0","1","17","0","0","0","0","0","1","2","24","0","0","0","0","0","1","28","0","0","0","0","0","2"
"Western Pacific Region"," Nutritional deficiencies","2","1","0","0","0","1","15","2","1","0","0","0","1","11","1","2","1","0","0","0","1","17","2","1","0","0","0","1","14","1"
"Western Pacific Region"," Protein-energy malnutrition","1","1","0","0","0","0","9","1","1","0","0","0","0","6","1","1","1","0","0","0","0","10","1","1","0","0","0","1","7","1"
"Western Pacific Region"," Iodine deficiency","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Vitamin A deficiency","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Iron-deficiency anaemia","1","0","0","0","0","0","4","1","0","0","0","0","0","4","1","1","0","0","0","0","1","5","1","0","0","0","0","1","5","0"
"Western Pacific Region"," Other nutritional deficiencies","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0"
"Western Pacific Region"," Noncommunicable diseases","735","54","9","24","78","521","4197","691","57","9","26","106","836","5411","776","587","65","10","30","104","663","5157","569","68","10","30","131","954","6315","604"
"Western Pacific Region"," Malignant neoplasms","234","4","2","4","39","231","849","180","3","3","7","54","430","1646","287","166","6","3","6","47","238","847","131","5","4","8","66","426","1575","199"
"Western Pacific Region"," Mouth and oropharynx cancers","5","0","0","0","1","4","12","3","0","0","0","2","11","28","6","3","0","0","0","1","4","12","2","0","0","0","3","12","26","5"
"Western Pacific Region"," Oesophagus cancer","18","0","0","0","1","14","52","11","0","0","0","3","41","150","26","13","0","0","0","1","15","53","8","0","0","0","4","44","146","18"
"Western Pacific Region"," Stomach cancer","34","0","0","0","3","27","130","24","0","0","0","6","66","260","44","25","0","0","0","5","29","133","18","0","0","0","7","70","263","32"
"Western Pacific Region"," Colon and rectum cancers","18","0","0","0","2","16","94","17","0","0","0","3","23","131","19","12","0","0","0","3","17","93","12","0","0","0","3","24","128","13"
"Western Pacific Region"," Liver cancer","38","0","0","1","5","33","115","25","0","0","2","19","92","232","52","29","0","0","1","6","35","109","18","0","0","2","24","96","215","40"
"Western Pacific Region"," Pancreas cancer","7","0","0","0","1","7","39","7","0","0","0","1","10","47","7","5","0","0","0","1","8","42","5","0","0","0","1","11","49","5"
"Western Pacific Region"," Trachea, bronchus, lung cancers","62","0","0","0","6","51","186","38","0","0","0","11","132","489","84","39","0","0","0","6","46","183","25","0","0","0","12","114","450","52"
"Western Pacific Region"," Melanoma and other skin cancers","1","0","0","0","0","1","7","1","0","0","0","0","2","10","2","1","0","0","0","0","1","6","1","0","0","0","0","2","9","1"
"Western Pacific Region"," Breast cancer","6","0","0","0","7","22","32","12","0","0","0","0","0","0","0","5","0","0","0","8","24","33","10","0","0","0","0","0","0","0"
"Western Pacific Region"," Cervix uteri cancer","4","0","0","1","4","12","26","8","0","0","0","0","0","0","0","3","0","0","1","5","13","24","6","0","0","0","0","0","0","0"
"Western Pacific Region"," Corpus uteri cancer","2","0","0","0","1","7","14","4","0","0","0","0","0","0","0","2","0","0","0","2","8","14","3","0","0","0","0","0","0","0"
"Western Pacific Region"," Ovary cancer","1","0","0","0","1","5","11","3","0","0","0","0","0","0","0","1","0","0","0","1","6","12","3","0","0","0","0","0","0","0"
"Western Pacific Region"," Prostate cancer","4","0","0","0","0","0","0","0","0","0","0","0","4","78","9","3","0","0","0","0","0","0","0","0","0","0","0","4","72","5"
"Western Pacific Region"," Bladder cancer","3","0","0","0","0","1","11","2","0","0","0","0","4","41","5","2","0","0","0","0","1","12","1","0","0","0","0","4","40","3"
"Western Pacific Region"," Lymphomas, multiple myeloma","4","0","0","0","1","4","20","4","0","0","0","1","6","29","5","3","0","0","0","1","4","21","3","0","0","0","1","7","31","4"
"Western Pacific Region"," Leukaemia","5","2","1","2","2","6","14","4","2","2","2","2","7","24","6","4","3","2","2","3","6","14","4","2","2","3","3","8","24","5"
"Western Pacific Region"," Other malignant neoplasms","20","2","0","0","4","20","85","17","2","1","1","6","31","127","22","14","3","1","1","5","21","85","13","2","1","1","7","31","122","16"
"Western Pacific Region"," Other neoplasms","5","0","0","0","1","4","23","4","0","0","0","1","6","30","5","3","1","0","0","1","4","23","3","0","0","0","1","6","29","3"
"Western Pacific Region"," Diabetes mellitus","21","0","0","1","3","28","133","25","1","0","1","3","22","101","16","16","0","0","1","3","31","154","19","1","0","1","3","23","121","13"
"Western Pacific Region"," Endocrine, blood, immune disorders","4","2","1","1","1","3","28","5","2","0","1","1","3","27","4","3","2","1","1","1","3","28","4","2","0","1","1","3","28","3"
"Western Pacific Region"," Mental and behavioral disorders","2","0","0","1","1","2","8","2","0","0","1","2","3","7","2","2","0","0","1","1","2","8","2","0","0","1","2","3","7","2"
"Western Pacific Region"," Unipolar depressive disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Bipolar disorder","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Schizophrenia","1","0","0","0","0","1","3","1","0","0","0","0","1","2","1","1","0","0","0","1","1","3","1","0","0","0","0","1","2","1"
"Western Pacific Region"," Alcohol use disorders","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1"
"Western Pacific Region"," Drug use disorders","0","0","0","0","0","0","2","1","0","0","0","1","0","1","0","0","0","0","1","0","1","2","1","0","0","1","1","0","1","0"
"Western Pacific Region"," Anxiety disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Eating disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Pervasive developmental disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Childhood behavioural disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Idiopathic intellectual disability","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Other mental and behavioural disorders","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0"
"Western Pacific Region"," Neurological conditions","13","1","1","2","1","5","112","16","1","1","2","1","5","83","10","10","1","1","2","2","6","120","12","2","1","2","1","6","95","8"
"Western Pacific Region"," Alzheimer's disease and other dementias","9","0","0","0","0","2","89","12","0","0","0","0","2","58","6","6","0","0","0","0","2","94","7","0","0","0","0","2","66","4"
"Western Pacific Region"," Parkinson's disease","2","0","0","0","0","1","12","2","0","0","0","0","1","15","2","1","0","0","0","0","1","14","1","0","0","0","0","1","17","1"
"Western Pacific Region"," Epilepsy","1","1","1","1","1","1","2","1","1","1","1","1","1","3","1","1","1","1","1","1","1","3","1","1","1","2","1","1","3","1"
"Western Pacific Region"," Multiple sclerosis","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Western Pacific Region"," Migraine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Non-migraine headache","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Other neurological conditions","2","1","0","1","1","2","9","2","1","0","0","0","1","7","1","1","1","1","1","1","2","10","2","1","0","0","0","2","9","1"
"Western Pacific Region"," Sense organ diseases","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Glaucoma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Cataracts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Refractive errors","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Macular degeneration","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Other vision loss","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Other hearing loss","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," other sense organ disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Cardiovascular diseases","325","6","2","7","22","189","2244","337","8","2","9","32","273","2399","313","284","7","2","9","35","297","2988","299","9","2","10","41","367","3188","270"
"Western Pacific Region"," Rheumatic heart disease","4","0","0","1","1","5","28","5","0","0","1","1","4","21","3","5","0","0","1","2","10","40","6","0","0","1","1","5","29","3"
"Western Pacific Region"," Hypertensive heart disease","17","0","0","0","1","9","128","19","0","0","0","1","13","121","15","15","0","0","0","1","15","179","17","0","0","0","2","17","170","14"
"Western Pacific Region"," Ischaemic heart disease","117","0","0","2","7","68","827","123","1","0","3","13","99","842","111","100","1","0","3","11","97","1074","104","1","0","3","16","131","1113","95"
"Western Pacific Region"," Stroke","157","3","0","2","10","95","1042","158","5","0","3","13","138","1207","157","138","3","0","3","17","156","1387","142","6","0","3","17","186","1586","134"
"Western Pacific Region"," Cardiomyopathy, myocarditis, endocarditis","4","1","0","1","1","2","21","4","1","0","1","1","4","22","4","4","1","0","1","1","4","29","4","1","0","1","2","6","31","4"
"Western Pacific Region"," Other circulatory diseases","25","1","0","1","2","9","198","28","1","0","1","3","15","186","23","23","2","1","2","3","16","279","25","2","0","2","4","21","259","21"
"Western Pacific Region"," Respiratory diseases","87","3","1","1","2","28","552","77","4","1","1","2","47","856","96","67","4","1","2","3","42","716","64","4","1","1","3","63","974","69"
"Western Pacific Region"," Chronic obstructive pulmonary disease","71","1","0","0","1","22","463","64","1","0","0","1","38","705","78","55","1","0","0","2","35","603","53","1","0","0","2","51","809","56"
"Western Pacific Region"," Asthma","4","1","0","0","1","2","22","4","1","0","0","0","4","34","4","3","1","0","0","1","3","26","3","1","0","0","1","4","33","3"
"Western Pacific Region"," Other respiratory diseases","11","2","0","1","1","3","68","10","2","0","1","1","6","118","13","9","3","0","1","1","4","88","8","3","0","1","1","8","132","10"
"Western Pacific Region"," Digestive diseases","22","3","0","1","3","16","122","20","3","0","2","7","31","143","24","18","4","0","1","4","20","140","16","4","0","2","9","39","164","20"
"Western Pacific Region"," Peptic ulcer disease","3","0","0","0","0","2","17","3","0","0","0","0","3","24","3","2","0","0","0","0","2","19","2","0","0","0","1","4","26","3"
"Western Pacific Region"," Cirrhosis of the liver","9","0","0","0","2","9","30","7","0","0","1","5","19","45","11","8","0","0","1","2","11","33","6","0","0","1","6","25","51","10"
"Western Pacific Region"," Appendicitis","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"Western Pacific Region"," Other digestive diseases","10","2","0","0","1","5","74","11","2","0","1","1","8","72","10","8","3","0","1","1","7","87","9","3","0","1","2","10","85","8"
"Western Pacific Region"," Genitourinary diseases","15","2","0","2","3","13","88","16","1","1","2","3","13","91","13","11","2","0","2","4","15","94","12","1","1","2","3","14","104","10"
"Western Pacific Region"," Kidney diseases","11","1","0","1","3","11","68","12","1","0","2","3","10","68","10","9","1","0","2","3","12","73","9","1","0","2","3","11","77","8"
"Western Pacific Region"," Hyperplasia of prostate","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"Western Pacific Region"," Urolithiasis","0","0","0","0","0","0","2","0","0","0","0","0","1","3","0","0","0","0","0","0","0","2","0","0","0","0","0","1","4","0"
"Western Pacific Region"," Other genitourinary diseases","3","1","0","0","0","2","17","3","1","0","0","1","2","17","2","2","1","0","0","0","2","18","2","1","0","0","1","2","19","2"
"Western Pacific Region"," Infertility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Gynecological diseases","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Skin diseases","1","0","0","0","0","1","10","2","0","0","0","0","1","9","1","1","0","0","0","0","1","10","1","0","0","0","0","1","9","1"
"Western Pacific Region"," Musculoskeletal diseases","3","0","0","1","1","2","25","4","0","0","0","0","2","18","2","3","0","0","2","1","3","26","3","0","0","0","0","2","19","2"
"Western Pacific Region"," Rheumatoid arthritis","1","0","0","0","0","1","8","1","0","0","0","0","1","6","1","1","0","0","0","0","1","9","1","0","0","0","0","1","6","1"
"Western Pacific Region"," Osteoarthritis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Gout","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Back and neck pain","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"Western Pacific Region"," Other musculoskeletal disorders","2","0","0","1","1","1","15","3","0","0","0","0","1","12","2","2","0","0","1","1","2","16","2","0","0","0","0","1","12","1"
"Western Pacific Region"," Congenital anomalies","3","33","2","2","1","1","2","3","34","1","1","0","0","1","2","4","39","2","2","1","1","2","4","40","1","1","0","0","2","3"
"Western Pacific Region"," Neural tube defects","0","4","0","0","0","0","0","0","4","0","0","0","0","0","0","0","4","0","0","0","0","0","0","5","0","0","0","0","0","0"
"Western Pacific Region"," Cleft lip and cleft palate","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Western Pacific Region"," Down's syndrome","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Western Pacific Region"," Congenital heart anomalies","2","18","1","1","0","0","1","2","19","1","1","0","0","1","1","2","22","1","2","1","0","1","2","23","1","1","0","0","1","2"
"Western Pacific Region"," Other chromosomal anomalies","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","0","0"
"Western Pacific Region"," Other congenital anomalies","1","7","0","0","0","0","1","1","7","0","0","0","0","1","1","1","8","0","0","0","0","1","1","8","0","0","0","0","1","1"
"Western Pacific Region"," Oral conditions","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Dental caries","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Periodontal disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Edentulism","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Injuries","52","19","6","18","21","38","177","43","21","9","45","46","66","204","61","55","26","8","24","27","46","201","41","29","12","57","62","87","242","67"
"Western Pacific Region"," Unintentional injuries","39","17","5","10","13","24","141","31","20","8","35","36","49","153","46","42","25","7","14","18","31","161","30","28","11","47","50","68","185","54"
"Western Pacific Region"," Road injury","15","3","2","4","6","11","19","8","4","2","23","23","25","36","21","20","4","3","6","10","16","28","10","6","4","32","34","39","52","30"
"Western Pacific Region"," Poisonings","2","2","0","1","1","2","6","2","1","0","1","2","3","8","2","2","3","0","2","2","2","6","2","2","0","2","2","4","9","3"
"Western Pacific Region"," Falls","9","1","0","1","2","4","57","9","1","0","2","4","9","50","9","7","1","0","1","2","5","63","7","1","1","3","4","10","56","8"
"Western Pacific Region"," Fire, heat and hot substances","1","1","0","0","0","1","5","1","1","0","0","0","1","6","1","1","1","0","0","0","1","5","1","1","0","0","0","1","6","1"
"Western Pacific Region"," Drowning","4","3","2","1","1","3","14","4","5","4","3","2","3","14","4","4","5","3","2","2","4","16","3","6","5","4","2","4","16","4"
"Western Pacific Region"," Exposure to forces of nature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Western Pacific Region"," Other unintentional injuries","8","7","1","2","2","4","40","7","8","1","5","5","8","39","9","8","11","1","2","3","5","43","6","12","1","6","7","10","45","9"
