Causes, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years
 Glaucoma,0,0,0,0,0,0,0
 Cataracts,0,0,0,0,0,0,0
 Refractive errors,0,0,0,0,0,0,0
 Macular degeneration,0,0,0,0,0,0,0
 Other vision loss,0,0,0,0,0,0,0
 Other hearing loss,0,0,0,0,0,0,0
 other sense organ disorders,0,0,0,0,0,0,0
 Cardiovascular diseases,197.6,3.9,12.8,81.4,342.8,838.5,4318.7
 Rheumatic heart disease,1.6,0.2,0.5,1.3,3.1,6.1,27.5
 Hypertensive heart disease,20.7,0.2,1.1,9.1,38.2,86.2,442.6
 Ischaemic heart disease,88.9,0.6,3.2,33.7,172.6,426.5,1914.1
 Stroke,45.6,1.3,3,18.1,72.4,181.9,1015.2
" Cardiomyopathy, myocarditis, endocarditis",7.3,0.7,1.9,6,16.5,33.3,130.9
 Other circulatory diseases,33.5,1,3.3,13.1,39.8,104.6,788.4
 Respiratory diseases,42.9,1.6,2.9,9.9,51.3,180,1011.4
 Chronic obstructive pulmonary disease,29.1,0.2,0.3,3.2,31,128.8,719
 Asthma,1.3,0.5,0.6,1.4,3,5.2,19.3
 Other respiratory diseases,12.4,0.9,2,5.2,17.4,46.1,273.1
 Digestive diseases,33.8,2,5.1,36.4,112.4,184.7,489.1
 Peptic ulcer disease,1.6,0,0.3,1,3.7,7.7,31.5
 Cirrhosis of the liver,12.9,0.2,1.5,21.4,64.9,86.1,109.8
 Appendicitis,0.5,0.4,0.4,0.5,1.1,2,5.9
 Other digestive diseases,18.9,1.4,3.1,13.6,42.7,88.7,342.1
 Genitourinary diseases,18.9,1,2.9,8.6,30.4,76,409
 Kidney diseases,14,0.8,2.3,6.8,24.3,59.9,294.1
 Hyperplasia of prostate,0.2,0,0,0,0.1,0.7,8.1
 Urolithiasis,0.1,0,0,0.2,0.3,0.4,1.4
 Other genitourinary diseases,4.5,0.2,0.4,1.6,5.4,14.4,103.7
 Infertility,0,0,0,0,0,0,0
 Gynecological diseases,0.1,0,0.1,0.2,0.3,0.5,1.6
 Skin diseases,1.7,0.2,0.4,0.9,2.9,6.4,33.2
 Musculoskeletal diseases,3.9,0.5,1.5,3.2,7.7,16.1,67.7
 Rheumatoid arthritis,0.7,0,0.1,0.3,1.3,3.5,13.5
 Osteoarthritis,0.2,0,0,0,0,0.4,5.7
 Gout,0,0,0,0,0.1,0.1,0.7
 Back and neck pain,0.1,0,0,0,0.3,0.8,3.2
 Other musculoskeletal disorders,2.8,0.5,1.5,2.9,5.9,11.2,44.6
 Congenital anomalies,6.6,3,2.5,2.1,3.3,4.3,9.4
 Neural tube defects,0.4,0.2,0.2,0,0.1,0,0.1
 Cleft lip and cleft palate,0,0,0,0,0,0,0
 Down's syndrome,0.3,0.2,0.2,0.4,1.1,1.1,0.2
 Congenital heart anomalies,3,1.4,1.2,0.9,1.1,1.5,5.3
 Other chromosomal anomalies,0.3,0.2,0,0,0,0,0
 Other congenital anomalies,2.5,1.2,0.9,0.7,1,1.7,3.8
 Oral conditions,0.1,0,0,0,0.2,0.4,1.4
 Dental caries,0.1,0,0,0,0.2,0.4,1.4
 Periodontal disease,0,0,0,0,0,0,0
 Edentulism,0,0,0,0,0,0,0
 Injuries,65.2,22.5,159.8,142.5,132.1,137.2,364.4
 Unintentional injuries,36.9,16.8,64.6,65.6,77.8,93.9,317.2
 Road injury,16.1,7.2,42.9,37.6,36.6,38.7,55.1
 Poisonings,1.8,0.2,3.2,5.3,7.4,3.5,3.7
 Falls,6.8,0.6,1.6,4.1,9.9,18.3,149.8
" Fire, heat and hot substances",1,0.9,1,1.3,2.2,3.2,9.6
 Drowning,2.4,3.7,5.5,4.3,4.5,4.3,5.1
 Exposure to forces of nature,0,0,0,0,0,0,0
 Other unintentional injuries,8.8,4.3,10.5,12.9,17.2,25.7,94
 Intentional injuries,28.3,5.6,95.3,76.9,54.3,43.4,47.2
 Self-harm,8.9,1.6,18.5,22.8,29.9,26.9,31.8
 Interpersonal violence,19.2,4,75.5,53.6,24.3,16.5,15.3
 Collective violence and legal intervention,0.2,0,1.2,0.4,0.1,0,0
