Causes, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years
 Asthma,5.5,3.4,4.7,7.8,22.8,62.5,200
 Other respiratory diseases,5.6,2.7,4.1,6.5,18.3,52.3,201.8
 Digestive diseases,38.7,19.4,28,84.3,235.3,453.3,1058.7
 Peptic ulcer disease,4.4,1.6,3.3,8.1,26.6,57.7,152.5
 Cirrhosis of the liver,15.2,4.6,10.1,44.9,115.2,191.5,288
 Appendicitis,2.3,3.4,2.4,3.3,8.9,20.7,49.4
 Other digestive diseases,16.8,9.9,12.3,28.1,84.6,183.4,568.8
 Genitourinary diseases,14.7,9,10.7,21.5,71.3,161,517.4
 Kidney diseases,10.6,7.6,8.4,16.3,53.5,114.7,332.1
 Hyperplasia of prostate,0,0,0,0,0,0,0
 Urolithiasis,0.2,0.1,0.1,0.3,0.9,1.8,6.1
 Other genitourinary diseases,3.8,1.3,1.9,4.4,16.5,43.8,177.5
 Infertility,0,0,0,0,0,0,0
 Gynecological diseases,0.1,0,0.2,0.4,0.4,0.5,1.6
 Skin diseases,3.6,2.2,2.5,4.7,13.5,30.9,131.1
 Musculoskeletal diseases,3.4,2.5,3.9,5.8,17,29.5,109.6
 Rheumatoid arthritis,1.6,0.9,1,2.1,8.7,16.4,63
 Osteoarthritis,0,0,0,0,0,0,0
 Gout,0,0,0,0,0,0,0
 Back and neck pain,0,0,0,0,0,0,0
 Other musculoskeletal disorders,1.8,1.5,2.9,3.6,8.4,13.2,46.5
 Congenital anomalies,16.7,10.3,3.6,1.5,2.1,4.3,14.8
 Neural tube defects,2.4,1,0.2,0,0.1,0,0.3
 Cleft lip and cleft palate,0.1,0,0,0,0,0,0
 Down's syndrome,0.6,0.6,0.3,0.2,0.2,0.2,0
 Congenital heart anomalies,5.1,3.3,1.5,0.5,0.7,1.9,8.4
 Other chromosomal anomalies,0.7,0.3,0.1,0,0,0.1,0.1
 Other congenital anomalies,7.8,5.2,1.4,0.7,1.1,2,5.9
 Oral conditions,0,0,0,0,0,0,0
 Dental caries,0,0,0,0,0,0,0
 Periodontal disease,0,0,0,0,0,0,0
 Edentulism,0,0,0,0,0,0,0
 Injuries,99.5,138.1,201.1,188.8,216.5,295.9,807.2
 Unintentional injuries,77.8,123.5,128.7,131.1,167.3,242.6,696
 Road injury,22.5,31.5,48.6,54.7,58.9,75.7,156.5
 Poisonings,3.8,4.7,6.3,6.1,6.9,9.1,19.7
 Falls,9.7,13.3,11,13.9,27,47.6,206
" Fire, heat and hot substances",13.6,27.9,15.4,14.2,19.3,31.7,104.9
 Drowning,8.5,19.3,15.2,11,11.4,15.1,28.6
 Exposure to forces of nature,0,0,0,0,0,0,0
 Other unintentional injuries,19.7,26.8,32.2,31.1,43.9,63.4,180.4
 Intentional injuries,21.7,14.7,72.4,57.7,49.1,53.4,111.2
 Self-harm,6.9,3.6,21.4,16.2,23.4,31.7,88.3
 Interpersonal violence,14.3,10.5,49.1,39.5,24.7,20.8,22.2
 Collective violence and legal intervention,0.6,0.5,1.9,1.9,1.1,0.8,0.7
