Causes, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years
 Oral conditions,0,0,0,0,0,0,0
 Dental caries,0,0,0,0,0,0,0
 Periodontal disease,0,0,0,0,0,0,0
 Edentulism,0,0,0,0,0,0,0
 Injuries,81.1,74.9,163.9,159.6,188.8,259.3,600.4
 Unintentional injuries,54,52.2,84.1,91.4,137.9,206,527.6
 Road injury,21.8,18.1,40.9,45.6,67,93.3,199.6
 Poisonings,3.5,2.8,5.3,6.3,9.9,13.3,27.8
 Falls,4.1,2.7,3.5,5,10.1,21,96.3
" Fire, heat and hot substances",4.3,4.3,6.6,6,7.3,11.6,39.8
 Drowning,5,8.4,7.9,5.3,7.1,10.1,19.8
 Exposure to forces of nature,0,0,0,0,0,0,0
 Other unintentional injuries,15.3,16.1,19.9,23.3,36.5,56.6,144.1
 Intentional injuries,27.2,22.6,79.8,68.3,50.9,53.2,72.8
 Self-harm,5,2,13.1,11,15.7,21.1,42.8
 Interpersonal violence,5.5,3.3,15,13.4,10.9,10,14.4
 Collective violence and legal intervention,16.7,17.3,51.7,43.8,24.4,22.1,15.4
