"","","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population"
"South-East Asia Region"," Gonorrhoea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Trichomoniasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Other STDs","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," HIV/AIDS","6","2","1","3","8","7","1","5","2","1","4","13","11","2","7","11","4","1","5","18","11","0","9","3","1","6","30","23","2","14"
"South-East Asia Region"," Diarrhoeal diseases","37","35","9","7","8","45","518","48","28","5","3","6","33","319","27","44","85","19","13","13","73","640","54","68","13","6","11","54","417","34"
"South-East Asia Region"," Childhood-cluster diseases","2","21","2","0","0","0","1","2","18","1","0","0","1","3","2","5","46","4","1","0","1","2","5","41","3","1","0","1","4","5"
"South-East Asia Region"," Whooping cough","0","6","0","0","0","0","0","0","5","0","0","0","0","0","0","1","13","0","0","0","0","0","1","10","0","0","0","0","0","1"
"South-East Asia Region"," Diphtheria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Measles","1","11","1","0","0","0","0","1","11","1","0","0","0","0","1","3","25","3","0","0","0","0","3","24","2","0","0","0","0","3"
"South-East Asia Region"," Tetanus","1","3","0","0","0","0","1","0","3","0","0","0","0","3","1","1","8","0","0","0","1","1","1","7","1","0","0","1","4","1"
"South-East Asia Region"," Meningitis","2","9","1","1","1","2","13","2","8","1","1","1","3","14","2","4","20","3","1","1","4","16","4","18","2","1","2","4","18","4"
"South-East Asia Region"," Encephalitis","1","5","1","1","0","1","5","1","4","1","1","1","1","6","1","2","11","2","1","1","2","7","2","10","1","1","1","2","8","2"
"South-East Asia Region"," Acute hepatitis B","2","0","1","1","1","3","15","2","0","1","1","2","5","13","2","3","1","2","1","2","5","19","3","1","2","2","3","8","16","3"
"South-East Asia Region"," Acute hepatitis C","0","0","0","0","0","1","3","0","0","0","0","0","0","2","0","0","0","0","0","0","1","3","0","0","0","0","0","1","2","0"
"South-East Asia Region"," Parasitic and vector diseases","3","7","2","1","1","3","12","3","6","2","2","2","4","15","3","5","9","4","2","2","6","15","4","10","5","3","4","7","18","5"
"South-East Asia Region"," Malaria","1","6","1","0","1","1","2","1","5","1","1","1","1","2","1","2","7","2","1","1","1","2","2","7","2","1","1","2","2","2"
"South-East Asia Region"," Trypanosomiasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Chagas disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Schistosomiasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Leishmaniasis","1","0","0","0","0","1","2","0","1","1","1","1","1","3","1","1","1","1","1","1","1","2","1","2","2","1","1","2","4","2"
"South-East Asia Region"," Lymphatic filariasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Onchocerciasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Leprosy","0","0","0","0","0","1","2","0","0","0","0","0","1","3","0","0","0","0","0","0","1","2","0","0","0","0","0","2","3","0"
"South-East Asia Region"," Dengue","1","0","0","0","0","1","6","1","0","0","0","0","1","5","1","1","1","0","0","0","2","7","1","0","0","0","0","1","6","1"
"South-East Asia Region"," Trachoma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Rabies","0","0","0","0","0","0","1","0","0","0","0","0","1","2","0","1","0","1","0","0","1","1","0","0","1","0","1","1","2","1"
"South-East Asia Region"," Intestinal nematode infections","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"South-East Asia Region"," Ascariasis","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"South-East Asia Region"," Trichuriasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Hookworm disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Other infectious diseases","6","5","1","1","2","8","56","6","4","1","1","2","10","61","6","7","11","2","2","3","13","71","7","9","2","2","4","15","78","7"
"South-East Asia Region"," Respiratory infections","38","109","4","2","3","28","398","40","104","3","1","4","35","418","36","44","200","7","3","5","39","457","45","190","6","2","6","46","494","43"
"South-East Asia Region"," Lower respiratory infections","38","109","4","2","3","28","398","40","103","3","1","4","35","418","36","44","200","7","3","5","39","456","45","190","6","2","6","46","494","43"
"South-East Asia Region"," Upper respiratory infections","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Otitis media","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Maternal conditions","2","0","0","7","6","0","0","3","0","0","0","0","0","0","0","3","0","0","13","12","0","0","7","0","0","0","0","0","0","0"
"South-East Asia Region"," Neonatal conditions","22","300","0","0","0","0","0","22","307","0","0","0","0","0","23","40","423","0","0","0","0","0","39","436","0","0","0","0","0","41"
"South-East Asia Region"," Preterm birth complications","12","156","0","0","0","0","0","11","156","0","0","0","0","0","12","20","220","0","0","0","0","0","20","222","0","0","0","0","0","21"
"South-East Asia Region"," Birth asphyxia and birth trauma","7","92","0","0","0","0","0","7","100","0","0","0","0","0","8","13","128","0","0","0","0","0","12","142","0","0","0","0","0","13"
"South-East Asia Region"," Neonatal sepsis and infections","3","36","0","0","0","0","0","3","36","0","0","0","0","0","3","5","52","0","0","0","0","0","5","51","0","0","0","0","0","5"
"South-East Asia Region"," Other neonatal conditions","1","17","0","0","0","0","0","1","14","0","0","0","0","0","1","2","24","0","0","0","0","0","2","20","0","0","0","0","0","2"
"South-East Asia Region"," Nutritional deficiencies","3","5","0","0","1","3","41","4","4","0","0","0","2","21","2","4","11","1","1","1","6","53","5","9","1","0","1","3","30","3"
"South-East Asia Region"," Protein-energy malnutrition","3","5","0","0","1","3","38","4","4","0","0","0","2","20","2","3","11","1","1","1","5","49","4","9","1","0","1","3","28","3"
"South-East Asia Region"," Iodine deficiency","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Vitamin A deficiency","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Iron-deficiency anaemia","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","0"
"South-East Asia Region"," Other nutritional deficiencies","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Noncommunicable diseases","611","127","17","39","136","955","5537","586","108","17","41","195","1337","6455","636","491","147","19","46","158","1080","5857","464","129","19","48","230","1504","6944","517"
"South-East Asia Region"," Malignant neoplasms","105","7","3","9","58","249","527","100","6","4","8","43","294","811","109","74","6","3","9","57","234","479","73","6","4","8","43","262","703","74"
"South-East Asia Region"," Mouth and oropharynx cancers","12","0","0","0","3","17","43","7","0","0","1","9","48","100","16","8","0","0","0","3","16","39","5","0","0","1","9","45","88","12"
"South-East Asia Region"," Oesophagus cancer","6","0","0","0","2","10","26","4","0","0","0","3","22","49","7","4","0","0","0","2","10","24","3","0","0","0","3","20","43","5"
"South-East Asia Region"," Stomach cancer","6","0","0","0","2","11","26","4","0","0","0","3","19","47","7","4","0","0","0","2","10","25","3","0","0","0","3","17","43","5"
"South-East Asia Region"," Colon and rectum cancers","7","0","0","0","2","13","52","7","0","0","0","2","18","65","7","5","0","0","0","2","12","47","4","0","0","0","3","16","55","5"
"South-East Asia Region"," Liver cancer","6","0","0","0","1","9","25","4","0","0","0","3","21","53","8","4","0","0","0","1","9","24","3","0","0","0","4","21","47","6"
"South-East Asia Region"," Pancreas cancer","2","0","0","0","0","4","13","2","0","0","0","1","5","13","2","1","0","0","0","0","3","11","1","0","0","0","1","5","12","1"
"South-East Asia Region"," Trachea, bronchus, lung cancers","16","0","0","0","3","23","60","9","0","0","0","6","70","174","23","9","0","0","0","3","17","50","5","0","0","0","5","54","147","13"
"South-East Asia Region"," Melanoma and other skin cancers","0","0","0","0","0","1","2","0","0","0","0","0","1","4","0","0","0","0","0","0","1","2","0","0","0","0","0","1","3","0"
"South-East Asia Region"," Breast cancer","8","0","0","1","15","45","59","17","0","0","0","0","0","0","0","6","0","0","1","14","40","54","12","0","0","0","0","0","0","0"
"South-East Asia Region"," Cervix uteri cancer","8","0","0","3","12","42","57","16","0","0","0","0","0","0","0","6","0","0","3","12","43","53","13","0","0","0","0","0","0","0"
"South-East Asia Region"," Corpus uteri cancer","1","0","0","0","0","4","9","1","0","0","0","0","0","0","0","1","0","0","0","0","4","8","1","0","0","0","0","0","0","0"
"South-East Asia Region"," Ovary cancer","3","0","0","1","4","16","27","6","0","0","0","0","0","0","0","2","0","0","1","4","15","24","5","0","0","0","0","0","0","0"
"South-East Asia Region"," Prostate cancer","2","0","0","0","0","0","0","0","0","0","0","1","6","68","5","1","0","0","0","0","0","0","0","0","0","0","1","5","56","3"
"South-East Asia Region"," Bladder cancer","2","0","0","0","0","1","7","1","0","0","0","0","6","31","3","1","0","0","0","0","1","7","0","0","0","0","0","5","27","2"
"South-East Asia Region"," Lymphomas, multiple myeloma","5","0","0","1","2","9","23","4","0","1","1","3","15","38","6","4","0","0","1","2","9","20","3","0","1","1","3","13","32","4"
"South-East Asia Region"," Leukaemia","3","2","1","1","2","5","10","3","2","2","2","2","6","17","3","3","2","1","2","2","5","9","2","2","2","2","2","6","15","3"
"South-East Asia Region"," Other malignant neoplasms","20","4","1","1","9","40","89","17","4","1","2","11","59","152","22","14","4","1","1","9","38","80","12","4","1","2","11","55","134","16"
"South-East Asia Region"," Other neoplasms","2","0","0","0","1","3","13","2","0","0","1","1","3","15","2","1","0","0","0","1","3","12","1","0","0","1","1","3","13","1"
"South-East Asia Region"," Diabetes mellitus","31","1","0","1","6","72","315","35","1","0","1","7","62","279","27","23","1","0","1","6","68","305","24","1","0","1","9","65","287","21"
"South-East Asia Region"," Endocrine, blood, immune disorders","5","7","1","2","3","9","53","7","2","1","1","2","6","28","3","5","8","1","3","3","11","58","7","2","1","1","2","7","33","3"
"South-East Asia Region"," Mental and behavioral disorders","1","0","0","0","1","2","4","1","0","0","1","2","3","7","2","1","0","0","1","1","2","5","1","0","0","1","3","4","8","2"
"South-East Asia Region"," Unipolar depressive disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Bipolar disorder","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Schizophrenia","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0"
"South-East Asia Region"," Alcohol use disorders","1","0","0","0","0","1","1","0","0","0","0","1","2","2","1","1","0","0","0","0","1","1","0","0","0","0","1","3","3","1"
"South-East Asia Region"," Drug use disorders","0","0","0","0","0","0","1","0","0","0","1","1","1","2","1","0","0","0","0","0","1","1","0","0","0","1","1","1","2","1"
"South-East Asia Region"," Anxiety disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Eating disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Pervasive developmental disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Childhood behavioural disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Idiopathic intellectual disability","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Other mental and behavioural disorders","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"South-East Asia Region"," Neurological conditions","12","7","3","5","6","20","115","15","4","3","5","6","15","71","10","12","8","3","5","7","23","128","13","5","3","6","8","19","89","10"
"South-East Asia Region"," Alzheimer's disease and other dementias","1","0","0","0","0","1","14","1","0","0","0","0","0","7","1","1","0","0","0","0","1","15","1","0","0","0","0","1","9","0"
"South-East Asia Region"," Parkinson's disease","0","0","0","0","0","0","6","0","0","0","0","0","1","7","0","0","0","0","0","0","1","6","0","0","0","0","0","1","8","0"
"South-East Asia Region"," Epilepsy","2","1","1","2","1","2","8","2","1","1","2","2","3","10","2","2","2","2","2","2","2","9","2","1","2","3","3","4","12","3"
"South-East Asia Region"," Multiple sclerosis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Migraine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Non-migraine headache","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Other neurological conditions","9","6","1","3","5","16","87","11","3","1","2","4","11","47","7","8","6","1","3","5","19","97","10","4","1","3","5","14","59","7"
"South-East Asia Region"," Sense organ diseases","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Glaucoma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Cataracts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Refractive errors","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Macular degeneration","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Other vision loss","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Other hearing loss","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," other sense organ disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Cardiovascular diseases","266","7","3","11","34","342","2871","256","6","2","13","79","580","2958","276","217","8","3","14","45","427","3109","203","7","2","15","93","678","3377","230"
"South-East Asia Region"," Rheumatic heart disease","9","0","0","2","4","15","67","8","0","0","1","5","19","64","9","8","0","0","2","5","20","74","8","0","0","2","6","23","73","8"
"South-East Asia Region"," Hypertensive heart disease","17","0","0","0","2","25","207","18","0","0","1","4","33","175","16","14","0","0","1","3","33","226","15","0","0","1","5","38","201","13"
"South-East Asia Region"," Ischaemic heart disease","116","1","1","4","13","137","1118","100","1","0","5","43","291","1333","132","96","1","1","4","16","168","1219","79","1","0","6","50","349","1536","112"
"South-East Asia Region"," Stroke","107","3","0","3","11","144","1320","113","2","1","3","18","200","1197","101","84","3","1","4","15","179","1416","88","3","1","3","21","225","1350","80"
"South-East Asia Region"," Cardiomyopathy, myocarditis, endocarditis","7","1","0","1","2","8","52","5","1","0","1","5","17","64","8","6","1","0","1","2","10","57","5","1","0","1","6","21","74","8"
"South-East Asia Region"," Other circulatory diseases","11","1","1","1","3","14","107","11","1","0","1","3","20","125","11","9","1","1","2","4","17","117","9","1","0","1","4","23","143","9"
"South-East Asia Region"," Respiratory diseases","116","6","1","2","9","160","1168","106","6","1","2","13","213","1694","126","89","7","1","3","11","188","1235","81","7","1","2","18","264","1733","97"
"South-East Asia Region"," Chronic obstructive pulmonary disease","95","3","0","1","5","130","984","88","2","0","1","8","171","1418","103","72","4","0","1","7","153","1037","66","3","0","1","11","212","1449","78"
"South-East Asia Region"," Asthma","15","1","0","1","3","23","132","14","1","0","1","4","32","198","17","12","1","0","1","3","27","142","11","1","0","1","5","41","201","14"
"South-East Asia Region"," Other respiratory diseases","6","2","0","0","1","7","52","5","3","0","0","1","9","78","6","5","2","0","0","1","8","57","4","3","0","0","2","11","82","5"
"South-East Asia Region"," Digestive diseases","37","4","3","3","9","54","246","30","3","2","5","29","103","294","43","35","5","4","4","12","67","279","27","4","3","7","39","129","336","42"
"South-East Asia Region"," Peptic ulcer disease","7","1","0","1","2","11","52","6","0","0","1","4","16","63","7","6","1","0","1","3","14","58","6","1","0","1","5","19","71","7"
"South-East Asia Region"," Cirrhosis of the liver","18","1","1","1","5","27","80","12","1","1","1","16","65","116","23","17","2","1","1","6","34","90","11","1","1","2","22","83","131","23"
"South-East Asia Region"," Appendicitis","0","0","0","0","0","0","2","0","0","0","0","0","1","2","0","0","0","0","0","0","1","3","0","0","0","0","0","1","3","0"
"South-East Asia Region"," Other digestive diseases","12","2","2","1","2","15","112","11","2","2","3","9","21","112","13","11","3","2","2","3","18","128","10","2","2","4","12","26","131","13"
"South-East Asia Region"," Genitourinary diseases","24","4","2","3","9","39","162","21","5","2","4","11","51","250","26","21","5","2","4","11","46","177","19","6","2","4","13","64","303","24"
"South-East Asia Region"," Kidney diseases","18","3","1","2","6","31","118","16","4","1","3","10","39","168","19","16","4","1","3","8","36","130","14","5","1","4","11","49","203","18"
"South-East Asia Region"," Hyperplasia of prostate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Urolithiasis","1","0","0","0","0","1","5","1","0","0","0","0","2","16","1","1","0","0","0","0","1","5","1","0","0","0","0","3","19","1"
"South-East Asia Region"," Other genitourinary diseases","5","1","0","1","2","7","38","4","1","0","1","1","9","67","6","4","1","0","1","2","8","41","4","1","0","1","2","12","81","5"
"South-East Asia Region"," Infertility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Gynecological diseases","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Skin diseases","2","1","0","0","0","2","17","2","1","0","0","0","2","16","1","1","1","0","0","1","2","18","1","1","0","0","0","3","19","1"
"South-East Asia Region"," Musculoskeletal diseases","3","0","0","1","1","5","38","4","0","0","0","1","4","25","2","3","0","0","1","2","8","43","3","0","0","0","1","5","31","2"
"South-East Asia Region"," Rheumatoid arthritis","1","0","0","0","0","1","6","1","0","0","0","0","2","17","1","1","0","0","0","0","1","7","0","0","0","0","0","3","21","1"
"South-East Asia Region"," Osteoarthritis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Gout","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Back and neck pain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Other musculoskeletal disorders","2","0","0","1","1","4","32","3","0","0","0","0","2","8","1","2","0","0","1","1","7","36","3","0","0","0","0","2","10","1"
"South-East Asia Region"," Congenital anomalies","7","83","2","1","0","1","7","7","73","2","1","1","1","7","7","10","97","2","1","0","1","8","10","89","2","1","1","1","9","10"
"South-East Asia Region"," Neural tube defects","2","28","0","0","0","0","0","2","22","0","0","0","0","0","2","3","32","0","0","0","0","0","3","26","0","0","0","0","0","3"
"South-East Asia Region"," Cleft lip and cleft palate","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0"
"South-East Asia Region"," Down's syndrome","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0"
"South-East Asia Region"," Congenital heart anomalies","3","27","1","1","0","0","4","3","24","1","1","0","0","4","2","3","31","1","1","0","0","5","3","29","1","1","0","0","5","3"
"South-East Asia Region"," Other chromosomal anomalies","0","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","3","0","0","0","0","0","0"
"South-East Asia Region"," Other congenital anomalies","2","22","1","0","0","0","2","2","22","1","0","0","1","3","2","3","26","1","0","0","0","3","3","27","1","0","0","1","4","3"
"South-East Asia Region"," Oral conditions","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Dental caries","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Periodontal disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Edentulism","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Injuries","96","32","17","40","38","87","473","71","35","26","97","120","168","503","121","87","40","20","49","41","91","481","64","45","30","98","122","171","518","110"
"South-East Asia Region"," Unintentional injuries","75","31","15","21","22","72","451","57","33","24","64","79","134","456","92","65","38","18","23","25","76","456","49","43","28","63","79","135","466","81"
"South-East Asia Region"," Road injury","28","6","5","8","9","22","48","13","7","8","42","46","63","101","42","22","5","4","7","8","19","42","10","6","7","35","40","54","90","33"
"South-East Asia Region"," Poisonings","3","1","1","2","2","2","6","2","2","1","2","4","5","10","3","3","2","1","2","2","3","6","2","2","1","3","5","6","11","4"
"South-East Asia Region"," Falls","20","3","2","1","2","24","278","23","3","2","3","7","26","202","18","16","4","2","2","3","27","288","17","4","3","4","8","29","220","15"
"South-East Asia Region"," Fire, heat and hot substances","3","4","1","4","3","4","14","4","4","1","2","3","4","15","3","4","5","1","5","4","4","15","4","5","1","3","3","4","16","3"
"South-East Asia Region"," Drowning","6","8","3","2","1","4","18","4","10","6","5","6","10","23","8","6","11","4","3","2","4","17","4","14","8","6","7","10","22","9"
"South-East Asia Region"," Exposure to forces of nature","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South-East Asia Region"," Other unintentional injuries","15","8","4","4","5","16","87","12","8","6","9","13","27","105","18","14","11","5","5","6","19","88","11","11","8","12","16","31","108","18"
