Causes, All ages (total) years,5-14 years,15-29  years,30-49 years,50-59  years,60-69  years,70+  years
 Bladder cancer,0.9,0,0,0.6,3.1,9.5,30.5
" Lymphomas, multiple myeloma",2.6,0.8,1.2,3.6,12.2,25.1,43.4
 Leukaemia,2.5,2.9,2.8,3.9,7.2,13.4,24.8
 Other malignant neoplasms,10.2,2.6,3.4,13.7,48.9,100.7,183.5
 Other neoplasms,1.1,0.5,0.8,1.6,4.1,7.5,23.8
 Diabetes mellitus,22.4,0.6,2.7,15.5,82.1,231.6,624
" Endocrine, blood, immune disorders",3.9,2,3.2,4.2,10.5,25.3,76.8
 Mental and behavioral disorders,1.4,0.2,1.6,3.6,6.4,8,14.7
 Unipolar depressive disorders,0,0,0,0,0,0,0
 Bipolar disorder,0,0,0,0,0,0,0
 Schizophrenia,0.1,0,0,0.3,0.4,0.8,2.9
 Alcohol use disorders,0.6,0,0.3,1.7,4.1,4.4,5
 Drug use disorders,0.6,0.2,1.1,1.5,1.6,2.2,4.1
 Anxiety disorders,0,0,0,0,0,0,0
 Eating disorders,0,0,0,0,0,0.2,0.7
 Pervasive developmental disorders,0,0,0,0,0,0,0
 Childhood behavioural disorders,0,0,0,0,0,0,0
 Idiopathic intellectual disability,0,0,0,0,0,0,0
 Other mental and behavioural disorders,0.1,0,0,0.1,0.3,0.6,2.1
 Neurological conditions,12.9,6.7,12.6,16.5,34.6,76,248.8
 Alzheimer's disease and other dementias,0.5,0.2,0.2,0.2,0.4,2.2,22.2
 Parkinson's disease,0.3,0,0,0,0.4,2.3,14.7
 Epilepsy,2.9,3.6,5.6,4.9,5.9,9.7,31.2
 Multiple sclerosis,0.1,0,0,0.2,0.3,0.4,0.7
 Migraine,0,0,0,0,0,0,0
 Non-migraine headache,0,0,0,0,0,0,0
 Other neurological conditions,9.1,2.9,6.9,11.1,27.5,61.3,180.1
 Sense organ diseases,0,0,0,0,0,0.2,1
 Glaucoma,0,0,0,0,0,0,0
 Cataracts,0,0,0,0,0,0,0
 Refractive errors,0,0,0,0,0,0,0
 Macular degeneration,0,0,0,0,0,0,0
 Other vision loss,0,0,0,0,0,0,0
 Other hearing loss,0,0,0,0,0,0,0
 other sense organ disorders,0,0,0,0,0,0.2,1
 Cardiovascular diseases,201.5,5.2,29.4,128.6,629.4,1858.8,6402.6
 Rheumatic heart disease,7.2,0.7,4,10.2,29.6,60,143.7
 Hypertensive heart disease,13.3,0.2,1.4,7.4,38.5,123.8,440.4
 Ischaemic heart disease,86.2,1,10.7,61.7,302.8,821.9,2596.2
 Stroke,78.7,1.4,6.9,33.1,209.5,723,2773.8
" Cardiomyopathy, myocarditis, endocarditis",6,0.6,2.6,8,22,49.9,135.7
 Other circulatory diseases,10.1,1.5,3.8,8.2,27,80.3,312.9
 Respiratory diseases,85.9,1.8,5.3,30.2,229.4,877.7,2992.6
 Chronic obstructive pulmonary disease,69.3,0.5,2.5,18.9,175.8,725.5,2494.4
 Asthma,11.8,0.6,1.8,8.6,42.1,114.4,341.7
 Other respiratory diseases,4.8,0.7,1,2.7,11.5,37.7,156.5
 Digestive diseases,35.1,7.3,13.4,53,153.1,302.8,643.6
 Peptic ulcer disease,6,0.6,2.4,7.5,22,52.8,135.3
 Cirrhosis of the liver,17.8,1.9,3.7,30.3,101.2,178.4,241.6
 Appendicitis,0.2,0.2,0.2,0.3,0.7,1.6,4.6
 Other digestive diseases,11.1,4.6,7.2,14.9,29.2,70.1,262.2
 Genitourinary diseases,23.2,4,8.8,24.5,83.1,193.7,579.8
 Kidney diseases,16.6,2.8,6.5,19,64.5,140.5,378.1
 Hyperplasia of prostate,0,0,0,0,0,0,0
 Urolithiasis,1,0.2,0.2,0.8,3.2,8.6,34.3
 Other genitourinary diseases,5.4,0.9,1.9,4.3,15.1,44,166.5
 Infertility,0,0,0,0,0,0,0
 Gynecological diseases,0.1,0,0.2,0.4,0.3,0.4,1
 Skin diseases,1.6,0.3,0.5,1.2,3.8,10.6,49.8
 Musculoskeletal diseases,3.2,0.4,1.1,2.5,9.7,26,94.5
 Rheumatoid arthritis,1.1,0.1,0.1,0.5,3,9.1,38.9
 Osteoarthritis,0,0,0,0,0,0,0
 Gout,0,0,0,0,0,0,0
 Back and neck pain,0,0,0,0,0,0,0
 Other musculoskeletal disorders,2.1,0.3,0.8,2,6.8,16.8,55.6
 Congenital anomalies,8.2,4.8,2.5,1.2,1.2,3.2,14.1
 Neural tube defects,2.4,0.9,0.3,0.2,0,0.2,0.8
 Cleft lip and cleft palate,0.1,0,0,0,0,0,0
 Down's syndrome,0.2,0.2,0.2,0.1,0,0.2,0
 Congenital heart anomalies,3,2,1.4,0.6,0.4,1.3,8
 Other chromosomal anomalies,0.3,0.1,0,0,0,0.1,0.2
 Other congenital anomalies,2.2,1.6,0.6,0.4,0.5,1.4,5.2
 Oral conditions,0,0,0,0,0.1,0.3,0.7
 Dental caries,0,0,0,0,0,0,0
 Periodontal disease,0,0,0,0,0,0,0
 Edentulism,0,0,0,0,0.1,0.3,0.7
 Injuries,85.3,54.1,147.1,153.1,206.3,348.5,1022.9
 Unintentional injuries,63,49.3,79.9,96.1,156.9,293.8,942.5
 Road injury,18.4,10,32.2,41.7,58.4,79.5,130.2
 Poisonings,3,1.7,5.6,7,8.7,10.5,16.8
 Falls,16.2,5.9,5.9,10.9,32.8,102.4,527.7
" Fire, heat and hot substances",3.9,2.6,8.2,6.6,5.9,10.7,28.1
 Drowning,7.1,15,10.6,8.6,12.9,19.8,40.8
 Exposure to forces of nature,0,0,0,0,0.1,0.2,0.3
 Other unintentional injuries,14.4,13.9,17.2,21.2,38.2,70.7,198.4
 Intentional injuries,22.3,5,67.2,57,49.5,54.7,80.5
 Self-harm,17.1,3.3,54.6,42.8,36.9,42.7,61
 Interpersonal violence,5,1.5,12.2,13.7,12.4,11.7,19.3
 Collective violence and legal intervention,0.1,0.1,0.5,0.4,0.2,0.2,0.1
