Diseases,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
 Whooping cough,0.3,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.4,0.3,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0.5
 Diphtheria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Measles,0.1,0.3,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0.1,0.7,0.6,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0.8
 Tetanus,0.1,0,0,0,0,0.1,0.3,0.1,0,0,0,0.1,0.1,0.2,0.1,0.3,0,0.1,0.1,0.1,0.2,0.5,0.3,0.1,0.1,0.1,0.2,0.5,0.7,0.4
 Meningitis,1,0.5,0.3,0.2,0.5,0.8,2.5,0.9,0.5,0.3,0.4,0.7,1,2.4,1.1,1.8,0.9,0.5,0.4,0.5,0.9,2.7,1.6,0.9,0.6,0.6,0.9,1.3,2.5,2.1
 Encephalitis,0.1,0,0,0,0,0.1,0.2,0.1,0,0,0.1,0.1,0.1,0.2,0.1,0.3,0.1,0.1,0,0,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3
 Acute hepatitis B,2.3,0,0.2,0.8,3.5,5.5,9.4,1.8,0.1,0.2,1.7,5.6,9.4,13,2.7,2.6,0.2,0.3,1.2,3.8,7.1,11.7,1.9,0.1,0.7,3,8.1,12.2,17.3,3.2
 Acute hepatitis C,0.4,0,0,0,0.3,0.8,4.2,0.4,0,0,0.1,0.4,1,3,0.3,0.3,0,0,0,0.3,1.1,2.8,0.3,0,0,0.1,0.6,1.6,2.6,0.3
 Parasitic and vector diseases,1,0.9,0.5,0.5,1,1.2,2.3,1,1,0.5,0.4,0.9,1.6,2.9,1,1.3,1.1,0.5,0.5,0.8,1.6,3.5,1.1,1.5,0.7,0.8,1.2,2.3,4.2,1.4
 Malaria,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.4,0.2,0.2,0.1,0.2,0.2,0.4,0.4,0.2,0.3,0.2,0.3,0.3,0.4,0.5
 Trypanosomiasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Chagas disease,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Schistosomiasis,0.1,0,0,0,0.1,0.1,0.5,0.1,0,0,0,0.1,0.2,0.4,0,0.2,0,0,0.1,0.3,0.8,2.2,0.2,0,0,0.1,0.4,1.2,2.6,0.3
 Leishmaniasis,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.5,0.2
 Lymphatic filariasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Onchocerciasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Leprosy,0.1,0,0,0,0.1,0,0.3,0.1,0,0,0,0.1,0.3,0.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Dengue,0.4,0.5,0.3,0.2,0.2,0.3,0.6,0.4,0.5,0.2,0.1,0.1,0.2,0.5,0.3,0.2,0.3,0.1,0,0,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0.1,0.2,0.2
 Trachoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Rabies,0.2,0.2,0.1,0.1,0.3,0.6,0.7,0.2,0.2,0.1,0.1,0.3,0.7,0.9,0.2,0.3,0.4,0.1,0.1,0.2,0.4,0.4,0.2,0.5,0.2,0.2,0.3,0.4,0.6,0.3
 Intestinal nematode infections,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0
 Ascariasis,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0,0.1,0
 Trichuriasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Hookworm disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Other infectious diseases,3.4,1.8,0.9,0.8,1.6,3.5,23.6,3.2,2.1,1.3,1.2,2.2,5.6,24.8,3.6,3.4,1.9,1.2,1.3,2.3,5.7,23.1,3.2,2.3,1.8,1.9,3.8,7.8,24.7,3.6
 Respiratory infections,25.2,1.5,1.3,1.6,4.5,17.2,277.4,25.3,1.5,1.2,2.3,7.9,29.3,313,25.1,31.1,3.3,1.7,2.2,7.1,25.3,285.5,31.2,3.3,2,3,10,38.2,312,31
 Lower respiratory infections,25.1,1.5,1.2,1.6,4.5,17.1,276.5,25.2,1.5,1.2,2.2,7.8,29.1,312.3,25,30.9,3.3,1.7,2.2,7,25.1,282.7,31,3.3,2,2.9,10,37.9,309.6,30.8
 Upper respiratory infections,0.1,0,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.1,0.6,0.1,0.2,0,0,0,0,0.2,2.8,0.2,0,0,0,0.1,0.3,2.4,0.1
 Otitis media,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
 Maternal conditions,0.6,0,2.4,2.4,0,0,0,1.3,0,0,0,0,0,0,0,1.1,0,4,4,0,0,0,2.2,0,0,0,0,0,0,0
 Neonatal conditions,9.6,0.1,0,0,0,0,0,8.3,0,0,0,0,0,0,10.9,18.9,0,0,0,0,0,0,16.8,0,0,0,0,0,0,21
 Preterm birth complications,3.7,0,0,0,0,0,0,3.3,0,0,0,0,0,0,4.2,7.1,0,0,0,0,0,0,6.5,0,0,0,0,0,0,7.8
 Birth asphyxia and birth trauma,3.1,0,0,0,0,0,0,2.7,0,0,0,0,0,0,3.4,7.9,0,0,0,0,0,0,7,0,0,0,0,0,0,8.7
 Neonatal sepsis and infections,0.9,0.1,0,0,0,0,0,0.7,0,0,0,0,0,0,1,1.9,0,0,0,0,0,0,1.6,0,0,0,0,0,0,2.2
 Other neonatal conditions,2,0,0,0,0,0,0,1.6,0,0,0,0,0,0,2.3,2,0,0,0,0,0,0,1.8,0,0,0,0,0,0,2.3
 Nutritional deficiencies,1.7,0.3,0.3,0.5,1,2.2,18,1.9,0.3,0.3,0.4,1,2.6,14.6,1.5,1.9,0.7,0.6,0.7,1.2,2.9,21.5,2.2,0.7,0.5,0.5,1.2,3.4,15.9,1.6
 Protein-energy malnutrition,0.9,0.2,0.1,0.2,0.3,0.6,10,1,0.2,0.1,0.2,0.4,1.1,7.1,0.7,1.1,0.4,0.2,0.2,0.4,1.3,13.5,1.3,0.4,0.2,0.3,0.7,1.6,9.5,1
 Iodine deficiency,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Vitamin A deficiency,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Iron-deficiency anaemia,0.7,0.1,0.2,0.2,0.7,1.5,5.7,0.8,0.1,0.1,0.2,0.5,1.4,5.4,0.6,0.7,0.3,0.3,0.5,0.7,1.6,7,0.8,0.3,0.2,0.2,0.4,1.8,5.7,0.6
 Other nutritional deficiencies,0.2,0.1,0,0,0.1,0.1,2,0.2,0,0,0,0.1,0.2,2,0.2,0.1,0,0.1,0,0,0,1,0.1,0,0,0,0.1,0.1,0.7,0.1
 Noncommunicable diseases,590.7,13.7,24.2,95.4,391.7,1112.7,5503.7,563.8,13.7,26.3,124.5,595.3,1692.7,6698.2,616.3,507.9,14.5,30.6,110.1,457.3,1335.9,5737.3,479.8,17,41.3,169.2,706.7,2087.9,7161.2,534.8
 Malignant neoplasms,157.2,3.4,6.4,38.9,142.6,290.4,906.1,118.2,4.3,8.4,57.1,267.6,595.9,1772.9,194.5,120.9,4.5,7.5,39.1,143.4,295.3,781.5,87.6,6.3,13.3,77.9,301.5,640,1543.4,152.8
 Mouth and oropharynx cancers,3,0.1,0.2,0.9,2.6,4.8,11.7,1.8,0.1,0.3,2.2,8.1,14.4,24.8,4.2,2.4,0.1,0.2,0.8,2.6,4.9,11.4,1.4,0.1,0.4,2.4,8,14.4,23.3,3.3
 Oesophagus cancer,11.8,0,0.1,0.5,5.4,18.4,62.8,6.7,0,0.1,2.4,24.9,62.9,147.9,16.6,10.5,0,0.1,0.9,8.7,27.9,74.8,6.8,0,0.2,3.6,32,75.1,145.7,14
 Stomach cancer,21.9,0,0.3,3.1,14,34.8,128.7,14.5,0,0.3,5.7,37.8,96.1,281,29,20.6,0,0.4,4.7,20.2,46.7,138.9,13.6,0,0.6,9.9,54.5,127.6,305.1,27.3
 Colon and rectum cancers,11.9,0,0.3,2.1,9.5,22.2,100.7,10.7,0,0.3,2.8,14,36.6,138.3,12.9,8.6,0,0.3,2.1,9.8,22.1,79.9,7.2,0,0.5,3.7,17,40.7,124.8,10
 Liver cancer,25,0.3,0.4,4.1,17.9,35.9,106.8,13.9,0.5,1.8,21.4,68.5,102.1,232.2,35.6,20.5,0.3,0.5,4.4,16.8,34.9,84.5,9.6,0.8,3.6,31.3,75.4,108.8,191.3,30.8
 Pancreas cancer,5.7,0,0.1,0.6,4.5,13.9,45.8,5.1,0,0.1,1.2,8.2,21.9,59.9,6.3,3.7,0,0.1,0.5,4,11.5,34.5,3.1,0,0.1,1.2,8.5,20.5,48.9,4.2
" Trachea, bronchus, lung cancers",39.7,0,0.2,4.6,24.4,58.8,209.2,23.8,0,0.5,9.9,67.5,172.9,558.1,54.8,25.8,0,0.3,4.2,22,53,156.1,14.9,0,0.7,11.7,67,163.1,436.4,36.2
 Melanoma and other skin cancers,1,0,0.1,0.3,0.7,1.7,8.1,0.9,0,0.1,0.3,1.2,2.9,11.1,1.1,0.6,0,0.1,0.2,0.6,1.3,6,0.5,0,0.1,0.3,1,2.5,8.1,0.7
 Breast cancer,4.5,0,0.4,7.5,20.1,24.8,36.1,9.3,0,0,0,0,0,0,0,3.1,0,0.4,6.9,17.9,19.1,26.4,6.3,0,0,0,0,0,0,0
 Cervix uteri cancer,2.2,0,0.4,4.2,9,11,17.9,4.6,0,0,0,0,0,0,0,1.6,0,0.5,3.6,7.7,10.2,16.6,3.4,0,0,0,0,0,0,0
 Corpus uteri cancer,1.2,0,0.1,1.4,5.2,7.6,11.1,2.5,0,0,0,0,0,0,0,0.8,0,0.2,1.1,4.3,6.7,10.1,1.7,0,0,0,0,0,0,0
 Ovary cancer,1.3,0,0.3,1.7,5.7,8.1,12,2.8,0,0,0,0,0,0,0,1.1,0,0.4,1.8,6.3,8.4,11.7,2.3,0,0,0,0,0,0,0
 Prostate cancer,2.4,0,0,0,0,0,0,0,0,0,0.1,1.1,7.2,74.1,4.8,1.4,0,0,0,0,0,0,0,0,0.1,0.1,1,6.6,55.2,2.7
 Bladder cancer,2.1,0,0,0.1,0.5,1.4,13.2,1.1,0,0,0.2,1.6,6,41.3,3,1.5,0,0,0.1,0.6,1.7,12,0.8,0,0.1,0.3,2,7,36.7,2.1
" Lymphomas, multiple myeloma",3.4,0.2,0.4,0.9,3,7,21.5,2.8,0.3,0.6,1.5,5.4,12.4,31.3,3.9,2.7,0.3,0.4,0.8,3,7,18,2.1,0.5,0.8,1.8,5.9,13.2,28.4,3.3
 Leukaemia,4.1,1.6,1.7,2.3,4.2,6.8,13.8,3.5,1.9,2.2,2.7,5.3,10.1,25.4,4.7,4,2.2,2.2,2.5,4,6.3,11,3.3,2.9,3.5,3.5,5.2,9.4,19.6,4.7
 Other malignant neoplasms,15.9,1.2,1.5,4.7,15.8,33.2,106.7,14.1,1.5,2.2,6.8,24.2,50.4,147.4,17.7,11.9,1.5,1.6,4.5,15,33.5,89.5,10.3,1.9,2.8,7.9,24.1,51.1,119.9,13.4
 Other neoplasms,2.9,0.2,0.2,1.2,2.9,6.1,21,2.8,0.2,0.4,0.9,3.8,9.6,26.2,3,2.4,0.2,0.2,1.1,3.2,6.7,20.6,2.2,0.2,0.4,1,4.1,11,26.7,2.5
 Diabetes mellitus,17.2,0.1,0.7,3.2,19.1,61.9,176,20.8,0,0.4,2.7,16.3,47.5,134.4,13.8,10.2,0.2,0.7,2.8,15.8,51.9,119.2,12,0.1,0.4,2.8,13.3,39.7,99.2,8.4
" Endocrine, blood, immune disorders",2.5,0.6,0.8,1.1,2.4,4.9,21.3,2.9,0.7,0.6,0.8,2.1,5,18.8,2.2,2.1,0.4,0.7,1.1,2.1,4.5,25.4,2.5,0.5,0.6,0.8,1.8,4.2,20.5,1.8
 Mental and behavioral disorders,1.9,0.3,0.6,1.2,2.1,2.9,8.8,1.7,0.3,0.8,1.9,3.4,5.2,8.1,2,2.2,0.2,1.1,1.8,2.5,3.5,11.6,1.9,0.2,1.5,3.3,4.1,6.1,10.9,2.5
 Unipolar depressive disorders,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0
 Bipolar disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Schizophrenia,0.6,0,0.1,0.6,0.9,1.5,3.1,0.7,0,0.1,0.4,1,1.7,2.5,0.5,1,0,0.2,1.1,1.6,2.3,5.6,1,0,0.4,1.4,1.6,2.6,4.8,1
 Alcohol use disorders,0.5,0,0,0.1,0.2,0.2,0.3,0.1,0,0.2,0.8,1.8,2.4,2.2,0.8,0.5,0,0.1,0.1,0.2,0.2,0.4,0.1,0,0.3,1.2,2,2.6,2.7,0.9
 Drug use disorders,0.5,0.2,0.4,0.4,0.8,0.8,2,0.5,0.1,0.5,0.6,0.4,0.5,1.1,0.5,0.5,0.1,0.6,0.5,0.5,0.6,2.7,0.5,0.1,0.6,0.6,0.3,0.3,0.8,0.4
 Anxiety disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Eating disorders,0.1,0,0.1,0.1,0.1,0.1,0.9,0.1,0,0,0,0,0.1,0.5,0.1,0.1,0,0.1,0.1,0.1,0.1,0.9,0.1,0,0.1,0,0,0.1,0.6,0.1
 Pervasive developmental disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Childhood behavioural disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Idiopathic intellectual disability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Other mental and behavioural disorders,0.2,0,0,0,0.1,0.3,2,0.2,0.1,0,0.1,0.2,0.4,1.6,0.2,0.2,0,0,0,0.1,0.3,1.9,0.1,0.1,0.1,0.1,0.2,0.5,1.8,0.2
 Neurological conditions,10.1,1.7,1.8,1.8,4.4,11.8,127.7,11.7,2.1,1.9,1.6,4.3,14.2,102.5,8.5,7.6,1.3,2.3,2.4,4.4,12.4,109.3,8.7,1.7,3.6,2.7,5,13.2,86.5,6.7
 Alzheimer's disease and other dementias,6,0.2,0.1,0.2,1.1,4.5,99.3,7.6,0.2,0.1,0.2,1.1,6.1,70.6,4.6,4,0.1,0.2,0.2,1,4.8,84,5.1,0.2,0.2,0.3,1.1,5.5,60.2,3
 Parkinson's disease,1.3,0,0,0.1,0.4,1.5,14.8,1.2,0,0,0,0.4,2.4,18.8,1.3,0.8,0,0.1,0.1,0.3,1.9,11.7,0.8,0,0,0.1,0.4,2.1,14.1,0.7
 Epilepsy,1.1,0.8,1.1,0.8,0.8,1.1,2.9,1,1.3,1.2,0.8,1.1,1.7,3.2,1.2,1.6,0.7,1.5,1.3,1.1,1.7,3.7,1.3,1,2.6,1.6,1.7,2,4.5,1.8
 Multiple sclerosis,0.1,0,0,0.1,0.2,0.3,0.4,0.1,0,0,0.1,0.3,0.4,0.6,0.1,0.1,0,0.1,0.1,0.2,0.4,0.5,0.1,0,0.1,0.1,0.4,0.5,1,0.2
 Migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Non-migraine headache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Other neurological conditions,1.6,0.8,0.5,0.7,1.9,4.4,10.4,1.8,0.6,0.5,0.5,1.4,3.6,9.2,1.3,1.1,0.5,0.5,0.6,1.7,3.7,9.4,1.3,0.4,0.6,0.5,1.4,3.1,6.7,1
 Sense organ diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,1.2,0.1,0,0,0,0.1,0.2,0.6,0.1
 Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
 Cataracts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.1,0.1,0
 Refractive errors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Macular degeneration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Other vision loss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Other hearing loss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 other sense organ disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0,0,0,0,0.1,0.1,0.4,0
 Cardiovascular diseases,291.2,2.4,6.7,34.3,169.2,573.9,3187.6,303.2,2.2,7.9,42,224.5,768.4,3281.2,279.8,226.4,2.2,8.7,38.3,196.2,637.3,2985.8,232,2.5,10.4,47.8,247.5,891.5,3302.6,221.1
 Rheumatic heart disease,4.2,0.2,0.6,2.1,7,16,38.9,5.6,0.2,0.5,0.8,2.9,7.9,27.1,2.8,5,0.5,1.6,3.9,10.2,20.5,47.3,6.4,0.4,1.1,2,5.3,13.6,35,3.6
 Hypertensive heart disease,16.2,0,0.2,1.6,8.3,31.6,196.7,17.9,0,0.2,1.9,10.1,36.4,180.9,14.5,16.6,0,0.4,2.3,15.8,52.4,218.6,17.2,0.1,0.3,2.7,17.4,68.7,241.2,15.9
 Ischaemic heart disease,99.3,0.4,2,10.6,49.8,187,1104.4,102.5,0.3,2.7,16.5,83.7,263.4,1105,96.2,49.4,0.2,1.6,8.3,38.6,127.7,642,48.9,0.3,2.6,14.5,65.9,195.6,701.6,49.8
 Stroke,146.5,0.5,1.9,16.2,92.4,303.5,1551.1,150.1,0.7,2.4,17.8,111.4,408.6,1695.7,143.2,118.5,0.4,1.9,16.5,104.2,343.2,1542.7,119.2,0.6,2.8,20.4,128.3,496,1797.9,117.8
" Cardiomyopathy, myocarditis, endocarditis",3.9,0.5,0.7,1.2,3,7.7,31.8,3.8,0.4,0.8,1.4,4.1,11.9,32.8,3.9,3.6,0.6,1.1,1.3,3,7.9,30.6,3.2,0.6,1.6,2.5,5.8,13.9,33.4,3.9
 Other circulatory diseases,21.2,0.8,1.3,2.7,8.7,28.1,264.7,23.2,0.6,1.4,3.6,12.3,40.2,239.7,19.2,33.5,0.6,2.1,5.9,24.4,85.6,504.6,37.2,0.6,2,5.7,24.8,103.8,493.4,30
 Respiratory diseases,70.6,0.9,1.2,3.5,21,93.4,784.1,66.8,0.7,1.1,3.5,27.1,148.9,1060.9,74.2,94.3,0.8,1.8,8.3,48.5,229.8,1351.3,94.8,0.8,1.9,7.7,58.3,332.5,1680,93.7
 Chronic obstructive pulmonary disease,59.5,0.1,0.3,1.9,16.4,81.4,673,56.6,0.1,0.3,1.7,19.9,125.4,908.5,62.3,83.3,0.2,1,6.4,42.1,209.4,1203.9,84,0.3,0.9,5.6,49.2,296.8,1497.5,82.6
 Asthma,2.9,0.3,0.4,0.8,2.1,4.9,26.3,2.9,0.3,0.4,0.7,2.6,7.6,30.6,2.9,3.5,0.3,0.4,0.9,2.5,7.7,41.1,3.4,0.3,0.5,0.8,3.5,12.4,51.7,3.5
 Other respiratory diseases,8.2,0.5,0.6,0.8,2.5,7,84.8,7.3,0.3,0.5,1.1,4.6,15.9,121.8,9,7.5,0.3,0.4,1,3.9,12.7,106.3,7.4,0.2,0.5,1.3,5.6,23.3,130.9,7.6
 Digestive diseases,18.7,0.5,1,3.6,13.2,34.7,144.1,16,0.4,1.6,9.5,32.9,64.6,165,21.3,23.9,1.1,2.1,7.6,25.1,58.2,202.8,19.8,1.1,4.1,18.8,55.6,109.1,245.9,27.8
 Peptic ulcer disease,2.4,0.1,0.1,0.3,1.3,3.9,20.6,2.1,0,0.2,0.8,3.3,8.2,27.3,2.8,4.1,0.1,0.3,1.1,3.9,9.9,35.4,3.3,0.1,0.7,2.2,7.5,19.5,54.1,4.8
 Cirrhosis of the liver,7.8,0.1,0.4,1.8,7.9,17,32.8,5.3,0.1,0.5,6.5,22.1,35.3,49,10.1,10.7,0.3,0.6,4.2,14.1,27.5,50.4,7.1,0.2,1.7,12.6,36.7,59.6,81.4,14.1
 Appendicitis,0.2,0.1,0.1,0.1,0.2,0.4,1.9,0.2,0.1,0.1,0.1,0.3,0.6,1.8,0.2,0.4,0.1,0.2,0.2,0.3,0.7,3.2,0.4,0.1,0.2,0.2,0.5,1.2,2.8,0.4
 Other digestive diseases,8.3,0.2,0.4,1.3,3.8,13.4,88.9,8.4,0.2,0.8,2.1,7.1,20.4,86.9,8.1,8.8,0.7,0.9,2.1,6.8,20.1,113.8,9,0.7,1.5,3.8,10.9,28.9,107.6,8.5
 Genitourinary diseases,11,0.6,1.6,4.1,10.6,24.6,92.1,11.5,0.7,1.6,3.5,10.7,27.4,103.5,10.6,10.5,0.8,2.8,5.4,12.6,28.5,94.4,10.4,0.8,2.9,5.2,12.9,34.4,123.6,10.5
 Kidney diseases,8.4,0.4,1.2,3.2,8.2,19.2,68.9,8.7,0.6,1.3,2.7,8.4,21.1,75.9,8,8.3,0.7,2.3,4.5,10.2,23.6,77.1,8.6,0.7,2.5,4.3,10.6,26.8,88,8.1
 Hyperplasia of prostate,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,3.4,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.2,1.4,9.7,0.5
 Urolithiasis,0.3,0.1,0,0.1,0.3,0.7,2.6,0.3,0,0,0.1,0.5,1.1,3.7,0.4,0.4,0,0,0.1,0.4,1,3.1,0.3,0,0,0.2,0.6,1.8,6.5,0.5
 Other genitourinary diseases,2,0.2,0.2,0.5,1.5,3.7,19,2.1,0.1,0.3,0.6,1.8,5.1,20.5,2,1.3,0.1,0.2,0.4,1.3,3,12.3,1.2,0.1,0.3,0.7,1.5,4.4,19.4,1.4
 Infertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Gynecological diseases,0.2,0,0.1,0.3,0.6,0.9,1.6,0.4,0,0,0,0,0,0,0,0.2,0,0.2,0.4,0.8,1,1.9,0.4,0,0,0,0,0,0,0
 Skin diseases,0.7,0,0.1,0.2,0.4,0.9,8.5,0.8,0,0.1,0.2,0.4,1,5.9,0.6,0.6,0.1,0.1,0.2,0.5,1,7.8,0.7,0.1,0.1,0.2,0.5,1,5,0.4
