"","","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population","Projection of deaths per 100 000 population"
"Eastern Mediterranean Region"," Gonorrhoea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Trichomoniasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Other STDs","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," HIV/AIDS","6","1","1","3","12","4","0","5","1","1","2","19","8","1","8","9","4","1","4","15","6","0","7","4","1","4","26","18","3","11"
"Eastern Mediterranean Region"," Diarrhoeal diseases","16","62","6","4","4","16","135","17","63","6","3","4","12","117","15","25","107","13","6","7","25","183","27","108","12","5","6","20","159","24"
"Eastern Mediterranean Region"," Childhood-cluster diseases","3","26","1","0","0","0","1","3","28","1","0","0","0","1","3","6","45","3","0","0","0","1","6","49","2","0","0","1","2","6"
"Eastern Mediterranean Region"," Whooping cough","1","10","0","0","0","0","0","1","9","0","0","0","0","0","1","2","17","0","0","0","0","0","2","16","0","0","0","0","0","2"
"Eastern Mediterranean Region"," Diphtheria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Measles","1","8","1","0","0","0","0","1","8","1","0","0","0","0","1","2","13","2","0","0","0","0","2","14","2","0","0","0","0","2"
"Eastern Mediterranean Region"," Tetanus","1","9","0","0","0","0","1","1","10","0","0","0","0","1","1","2","15","0","0","0","0","1","2","18","0","0","0","0","2","2"
"Eastern Mediterranean Region"," Meningitis","4","14","1","1","1","4","25","4","14","1","1","2","4","24","4","6","24","3","2","2","6","33","6","23","3","2","3","7","31","6"
"Eastern Mediterranean Region"," Encephalitis","1","5","1","0","0","1","8","1","5","1","1","1","1","8","1","2","8","2","1","1","2","11","2","8","1","1","1","2","10","2"
"Eastern Mediterranean Region"," Acute hepatitis B","1","1","0","0","0","3","12","1","1","0","0","1","5","14","2","2","1","0","0","1","5","16","1","1","0","0","1","8","18","2"
"Eastern Mediterranean Region"," Acute hepatitis C","0","0","0","0","0","1","3","0","0","0","0","0","1","2","0","0","0","0","0","0","1","4","0","0","0","0","0","1","3","0"
"Eastern Mediterranean Region"," Parasitic and vector diseases","3","18","2","1","1","2","7","3","17","2","1","1","2","8","3","5","19","5","2","2","4","9","5","19","5","2","2","4","10","5"
"Eastern Mediterranean Region"," Malaria","2","16","1","0","0","0","0","2","14","1","0","0","0","0","2","3","15","2","1","1","1","1","3","14","2","0","0","1","1","2"
"Eastern Mediterranean Region"," Trypanosomiasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Chagas disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Schistosomiasis","0","0","0","0","0","1","4","0","0","0","0","0","1","3","0","0","0","0","0","0","2","5","1","0","0","0","0","1","3","0"
"Eastern Mediterranean Region"," Leishmaniasis","1","1","1","0","0","0","1","0","2","1","1","0","1","3","1","1","2","1","0","0","1","2","1","4","2","1","1","1","3","1"
"Eastern Mediterranean Region"," Lymphatic filariasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Onchocerciasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Leprosy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Dengue","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Eastern Mediterranean Region"," Trachoma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Rabies","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","0","1","1","0","0","1","1","0"
"Eastern Mediterranean Region"," Intestinal nematode infections","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Ascariasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Trichuriasis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Hookworm disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Other infectious diseases","5","9","2","2","2","8","43","5","9","1","1","2","10","50","5","7","15","3","3","3","12","56","7","16","3","2","4","15","65","7"
"Eastern Mediterranean Region"," Respiratory infections","37","144","4","4","6","31","361","37","162","4","4","6","33","371","37","47","205","8","6","9","43","442","47","227","7","5","8","45","458","48"
"Eastern Mediterranean Region"," Lower respiratory infections","37","144","4","4","6","31","360","37","162","4","4","6","33","371","37","47","205","8","6","9","43","442","47","227","7","5","8","45","457","47"
"Eastern Mediterranean Region"," Upper respiratory infections","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Otitis media","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Maternal conditions","3","0","0","10","10","0","0","5","0","0","0","0","0","0","0","4","0","0","16","17","0","0","9","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Neonatal conditions","35","349","0","0","0","0","0","32","412","0","0","0","0","0","38","54","429","0","0","0","0","0","49","505","0","0","0","0","0","58"
"Eastern Mediterranean Region"," Preterm birth complications","17","178","0","0","0","0","0","16","200","0","0","0","0","0","19","27","221","0","0","0","0","0","25","248","0","0","0","0","0","28"
"Eastern Mediterranean Region"," Birth asphyxia and birth trauma","11","108","0","0","0","0","0","10","138","0","0","0","0","0","13","17","130","0","0","0","0","0","15","165","0","0","0","0","0","19"
"Eastern Mediterranean Region"," Neonatal sepsis and infections","5","48","0","0","0","0","0","4","58","0","0","0","0","0","5","7","59","0","0","0","0","0","7","70","0","0","0","0","0","8"
"Eastern Mediterranean Region"," Other neonatal conditions","1","15","0","0","0","0","0","1","17","0","0","0","0","0","2","2","19","0","0","0","0","0","2","21","0","0","0","0","0","2"
"Eastern Mediterranean Region"," Nutritional deficiencies","6","14","2","2","2","7","74","7","14","1","1","1","5","63","5","8","24","3","3","4","12","101","9","23","3","2","2","8","87","8"
"Eastern Mediterranean Region"," Protein-energy malnutrition","6","14","2","1","2","6","70","6","14","1","1","1","5","61","5","8","24","3","2","3","11","97","9","23","3","2","2","8","84","7"
"Eastern Mediterranean Region"," Iodine deficiency","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Vitamin A deficiency","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Iron-deficiency anaemia","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","3","0"
"Eastern Mediterranean Region"," Other nutritional deficiencies","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Noncommunicable diseases","445","168","29","37","124","796","5718","434","164","30","46","141","1023","6273","455","363","168","28","39","127","872","6209","348","172","30","49","143","1131","6947","377"
"Eastern Mediterranean Region"," Malignant neoplasms","80","8","5","10","57","236","426","74","9","7","11","43","261","818","86","59","7","5","10","52","229","389","55","9","7","11","39","255","746","63"
"Eastern Mediterranean Region"," Mouth and oropharynx cancers","4","0","0","0","2","10","19","3","0","0","1","3","18","47","5","3","0","0","0","2","10","18","2","0","0","1","3","18","45","4"
"Eastern Mediterranean Region"," Oesophagus cancer","4","0","0","0","2","11","25","3","0","0","0","2","14","43","4","3","0","0","0","1","11","24","2","0","0","0","2","14","41","3"
"Eastern Mediterranean Region"," Stomach cancer","5","0","0","0","2","12","34","4","0","0","0","3","21","77","7","4","0","0","0","2","12","32","3","0","0","0","3","21","76","5"
"Eastern Mediterranean Region"," Colon and rectum cancers","5","0","0","0","3","13","34","4","0","0","1","3","16","50","5","4","0","0","0","3","13","31","3","0","0","1","3","16","44","4"
"Eastern Mediterranean Region"," Liver cancer","4","0","0","0","1","8","15","2","0","0","0","2","20","48","5","3","0","0","0","1","9","14","2","0","0","0","2","20","41","4"
"Eastern Mediterranean Region"," Pancreas cancer","2","0","0","0","1","4","12","1","0","0","0","1","6","19","2","1","0","0","0","1","4","11","1","0","0","0","1","6","15","1"
"Eastern Mediterranean Region"," Trachea, bronchus, lung cancers","8","0","0","0","2","11","30","3","0","0","0","4","46","111","12","5","0","0","0","1","9","24","2","0","0","0","4","41","97","8"
"Eastern Mediterranean Region"," Melanoma and other skin cancers","1","0","0","0","0","1","4","1","0","0","0","0","2","5","1","0","0","0","0","0","1","4","0","0","0","0","0","2","5","0"
"Eastern Mediterranean Region"," Breast cancer","9","0","0","1","20","67","66","19","0","0","0","0","0","0","0","6","0","0","1","17","59","58","13","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Cervix uteri cancer","3","0","0","1","4","18","22","5","0","0","0","0","0","0","0","2","0","0","1","4","19","22","4","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Corpus uteri cancer","0","0","0","0","0","3","7","1","0","0","0","0","0","0","0","0","0","0","0","0","3","6","1","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Ovary cancer","2","0","0","1","3","13","19","4","0","0","0","0","0","0","0","1","0","0","1","3","13","18","3","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Prostate cancer","3","0","0","0","0","0","0","0","0","0","0","0","12","109","6","2","0","0","0","0","0","0","0","0","0","0","0","11","99","4"
"Eastern Mediterranean Region"," Bladder cancer","4","0","0","0","0","4","16","1","0","0","0","1","18","83","6","3","0","0","0","0","4","15","1","0","0","0","1","19","77","4"
"Eastern Mediterranean Region"," Lymphomas, multiple myeloma","7","1","1","2","4","15","26","5","1","2","3","7","22","50","8","5","1","1","2","4","15","24","4","1","2","3","6","22","44","7"
"Eastern Mediterranean Region"," Leukaemia","4","2","2","2","2","7","13","3","3","3","3","3","9","27","5","4","2","2","2","2","7","12","3","3","3","3","3","9","25","4"
"Eastern Mediterranean Region"," Other malignant neoplasms","16","5","2","2","11","39","83","14","5","1","3","13","56","149","19","13","4","1","2","10","40","77","11","4","1","3","12","56","138","14"
"Eastern Mediterranean Region"," Other neoplasms","3","1","0","0","2","7","23","3","1","0","1","2","10","33","4","2","1","0","0","2","8","21","2","1","0","1","2","10","29","3"
"Eastern Mediterranean Region"," Diabetes mellitus","24","2","0","1","4","56","382","27","2","0","1","5","54","335","22","16","2","0","1","4","50","367","18","2","0","1","4","49","317","15"
"Eastern Mediterranean Region"," Endocrine, blood, immune disorders","11","18","4","3","4","17","143","13","13","3","3","3","16","101","10","10","18","4","3","4","20","155","12","12","3","3","4","19","115","9"
"Eastern Mediterranean Region"," Mental and behavioral disorders","2","0","0","1","1","2","13","1","0","0","2","3","5","17","3","2","0","0","1","1","3","14","1","0","0","3","4","6","21","3"
"Eastern Mediterranean Region"," Unipolar depressive disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Bipolar disorder","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Schizophrenia","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0"
"Eastern Mediterranean Region"," Alcohol use disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Eastern Mediterranean Region"," Drug use disorders","2","0","0","1","1","2","8","1","0","0","2","3","3","10","2","2","0","0","1","1","2","8","1","0","0","3","3","4","12","2"
"Eastern Mediterranean Region"," Anxiety disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Eating disorders","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"Eastern Mediterranean Region"," Pervasive developmental disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Childhood behavioural disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Idiopathic intellectual disability","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Other mental and behavioural disorders","0","0","0","0","0","0","3","0","0","0","0","0","1","4","0","0","0","0","0","0","0","3","0","0","0","0","0","1","4","0"
"Eastern Mediterranean Region"," Neurological conditions","13","8","5","3","5","22","179","15","6","4","4","5","17","127","11","12","8","4","3","5","26","208","13","7","4","4","5","21","155","10"
"Eastern Mediterranean Region"," Alzheimer's disease and other dementias","2","0","0","0","0","1","38","2","0","0","0","0","1","32","1","1","0","0","0","0","1","41","1","0","0","0","0","1","38","1"
"Eastern Mediterranean Region"," Parkinson's disease","1","0","0","0","0","1","10","1","0","0","0","0","1","13","1","0","0","0","0","0","1","11","0","0","0","0","0","1","15","1"
"Eastern Mediterranean Region"," Epilepsy","2","4","2","1","1","2","12","2","3","1","2","2","2","10","2","2","4","1","1","1","2","14","2","3","1","2","2","2","12","2"
"Eastern Mediterranean Region"," Multiple sclerosis","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0"
"Eastern Mediterranean Region"," Migraine","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Non-migraine headache","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Other neurological conditions","8","4","3","2","4","18","118","10","3","2","2","3","13","71","7","8","4","3","2","4","21","140","9","3","2","2","3","16","88","6"
"Eastern Mediterranean Region"," Sense organ diseases","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Glaucoma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Cataracts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Refractive errors","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Macular degeneration","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Other vision loss","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Other hearing loss","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," other sense organ disorders","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Cardiovascular diseases","208","19","5","10","31","292","3384","206","19","5","14","50","447","3353","210","170","19","5","10","34","348","3744","163","20","5","15","53","518","3884","177"
"Eastern Mediterranean Region"," Rheumatic heart disease","8","1","1","2","3","13","111","8","0","1","1","3","15","91","7","6","1","1","2","3","15","123","7","0","1","1","3","17","104","6"
"Eastern Mediterranean Region"," Hypertensive heart disease","15","1","0","0","2","26","291","18","1","0","1","3","29","224","13","12","1","0","0","3","32","318","14","1","0","1","3","33","257","11"
"Eastern Mediterranean Region"," Ischaemic heart disease","96","3","1","3","12","132","1447","88","4","1","5","26","240","1610","104","79","3","1","3","13","156","1627","70","4","1","5","28","282","1896","88"
"Eastern Mediterranean Region"," Stroke","66","6","2","2","8","91","1206","70","7","2","4","11","119","1081","62","53","7","2","3","9","109","1315","55","7","2","5","12","134","1229","51"
"Eastern Mediterranean Region"," Cardiomyopathy, myocarditis, endocarditis","7","4","1","1","2","11","94","7","4","1","1","3","17","92","8","6","4","1","1","2","13","103","6","4","1","2","3","20","103","7"
"Eastern Mediterranean Region"," Other circulatory diseases","15","4","1","1","3","19","235","15","4","1","1","3","28","256","15","12","4","1","1","3","23","259","12","4","1","1","4","32","294","13"
"Eastern Mediterranean Region"," Respiratory diseases","49","12","1","2","6","78","658","44","14","2","3","7","98","946","53","40","12","1","2","6","87","732","35","14","2","3","8","115","1049","44"
"Eastern Mediterranean Region"," Chronic obstructive pulmonary disease","33","6","0","1","3","55","453","30","6","1","1","3","65","649","35","26","6","0","1","3","61","511","24","6","1","1","4","76","731","29"
"Eastern Mediterranean Region"," Asthma","7","1","0","0","1","12","97","7","2","1","1","2","15","133","8","6","1","0","1","2","14","105","5","2","1","1","2","19","142","7"
"Eastern Mediterranean Region"," Other respiratory diseases","9","5","1","1","1","11","108","7","6","1","1","2","17","164","10","7","5","1","1","1","12","116","6","7","1","1","2","21","176","8"
"Eastern Mediterranean Region"," Digestive diseases","26","6","2","3","8","50","280","23","6","2","3","15","77","295","28","23","6","2","3","10","60","319","21","6","2","4","17","94","337","26"
"Eastern Mediterranean Region"," Peptic ulcer disease","3","1","0","0","1","5","38","3","1","0","1","2","7","42","3","3","1","0","1","1","6","44","3","1","0","1","2","8","49","3"
"Eastern Mediterranean Region"," Cirrhosis of the liver","13","2","1","1","4","28","113","11","2","1","1","9","50","136","16","12","2","1","1","5","34","125","10","2","1","1","10","62","151","14"
"Eastern Mediterranean Region"," Appendicitis","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","1","3","0","0","0","0","0","1","3","0"
"Eastern Mediterranean Region"," Other digestive diseases","9","3","1","1","3","16","125","9","3","1","1","4","20","114","9","8","3","1","1","3","20","147","8","3","1","2","5","24","134","8"
"Eastern Mediterranean Region"," Genitourinary diseases","14","7","2","2","5","26","166","14","9","2","3","5","30","187","15","13","7","2","2","5","31","185","12","10","2","3","5","36","218","13"
"Eastern Mediterranean Region"," Kidney diseases","11","6","2","2","4","21","122","11","7","2","2","4","24","137","11","10","6","2","2","4","24","135","9","8","2","2","4","29","161","10"
"Eastern Mediterranean Region"," Hyperplasia of prostate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Urolithiasis","0","0","0","0","0","0","3","0","0","0","0","0","0","4","0","0","0","0","0","0","1","4","0","0","0","0","0","1","5","0"
"Eastern Mediterranean Region"," Other genitourinary diseases","3","1","0","0","1","5","40","3","2","0","0","1","5","45","3","3","1","0","0","1","5","45","2","2","0","0","1","6","53","3"
"Eastern Mediterranean Region"," Infertility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Gynecological diseases","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Skin diseases","2","2","0","0","1","2","19","2","2","0","0","1","3","21","2","2","2","0","0","1","3","22","1","2","0","0","1","3","26","2"
"Eastern Mediterranean Region"," Musculoskeletal diseases","1","0","0","1","1","2","15","2","0","0","0","1","2","12","1","1","0","0","1","1","3","18","1","0","0","0","1","2","14","1"
"Eastern Mediterranean Region"," Rheumatoid arthritis","1","0","0","0","0","1","6","1","0","0","0","0","1","6","0","0","0","0","0","0","2","8","1","0","0","0","0","1","7","0"
"Eastern Mediterranean Region"," Osteoarthritis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Gout","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Back and neck pain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Other musculoskeletal disorders","1","0","0","1","1","1","9","1","0","0","0","0","1","6","1","1","0","0","1","1","2","10","1","0","0","0","0","1","7","1"
"Eastern Mediterranean Region"," Congenital anomalies","11","86","3","1","1","3","31","11","83","3","1","1","4","28","10","13","87","3","1","1","4","36","13","89","3","1","1","4","35","13"
"Eastern Mediterranean Region"," Neural tube defects","1","13","0","0","0","0","2","1","11","0","0","0","0","1","1","2","13","0","0","0","0","2","2","12","0","0","0","0","2","2"
"Eastern Mediterranean Region"," Cleft lip and cleft palate","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Down's syndrome","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Congenital heart anomalies","4","32","1","1","0","2","20","5","33","1","1","0","2","16","4","5","33","1","1","0","2","23","5","36","1","1","0","2","19","5"
"Eastern Mediterranean Region"," Other chromosomal anomalies","0","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Other congenital anomalies","4","34","1","0","0","1","9","4","34","1","0","0","2","11","4","5","33","1","0","0","2","10","5","36","1","0","0","2","14","5"
"Eastern Mediterranean Region"," Oral conditions","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Dental caries","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Periodontal disease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Edentulism","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eastern Mediterranean Region"," Injuries","73","61","21","34","36","65","213","47","72","30","95","102","135","322","97","68","61","22","35","34","62","221","44","76","31","95","98","134","335","91"
